Line	Date	Time	SpectrumFile	LibraryFile	Water vapor H2O	Unit	 Compensation	Nitrous oxide N2O	Unit	 Compensation	Nitrogen monoxide NO	Unit	 Compensation	Nitrogen dioxide NO2	Unit	 Compensation	Sulfur dioxide SO2	Unit	 Compensation	Ammonia NH3	Unit	 Compensation	Chlorobenzen C6H5Cl	Unit	 Compensation	Carbon dioxide_ppm	Unit	 Compensation	Carbon monoxide_ppm	Unit	 Compensation	 Status
0	2017-03-02	22:21:15		SN081370_20160606.LIB	  0.05	vol-%	wet	  0.64	ppm	wet	479.44	ppm	wet	 14.71	ppm	wet	  3.55	ppm	wet	479.85	ppm	wet	 42.21	ppm	wet	 22.11	ppm	wet	  0.33	ppm	wet	Warning
0	2017-03-02	22:21:36		SN081370_20160606.LIB	  0.04	vol-%	wet	  0.64	ppm	wet	479.86	ppm	wet	 14.07	ppm	wet	  2.71	ppm	wet	467.64	ppm	wet	 39.04	ppm	wet	 20.18	ppm	wet	  0.05	ppm	wet	Warning
0	2017-03-02	22:21:58		SN081370_20160606.LIB	  0.06	vol-%	wet	  0.65	ppm	wet	478.60	ppm	wet	 14.28	ppm	wet	  3.39	ppm	wet	451.80	ppm	wet	 36.22	ppm	wet	 17.87	ppm	wet	  0.51	ppm	wet	Warning
0	2017-03-02	22:22:19		SN081370_20160606.LIB	  0.06	vol-%	wet	  0.72	ppm	wet	477.26	ppm	wet	 12.98	ppm	wet	  2.92	ppm	wet	435.80	ppm	wet	 33.77	ppm	wet	 15.57	ppm	wet	  0.55	ppm	wet	Warning
0	2017-03-02	22:22:40		SN081370_20160606.LIB	  0.06	vol-%	wet	  0.75	ppm	wet	476.16	ppm	wet	 12.42	ppm	wet	  2.56	ppm	wet	422.17	ppm	wet	 31.77	ppm	wet	 13.47	ppm	wet	  0.19	ppm	wet	OK
0	2017-03-02	22:23:01		SN081370_20160606.LIB	  0.06	vol-%	wet	  0.82	ppm	wet	474.71	ppm	wet	 13.04	ppm	wet	  3.55	ppm	wet	406.48	ppm	wet	 30.76	ppm	wet	 11.49	ppm	wet	  0.48	ppm	wet	OK
0	2017-03-02	22:23:22		SN081370_20160606.LIB	  0.06	vol-%	wet	  0.74	ppm	wet	473.21	ppm	wet	 12.42	ppm	wet	  2.78	ppm	wet	391.25	ppm	wet	 30.67	ppm	wet	  9.75	ppm	wet	  0.58	ppm	wet	OK
0	2017-03-02	22:23:43		SN081370_20160606.LIB	  0.07	vol-%	wet	  0.94	ppm	wet	472.39	ppm	wet	 11.24	ppm	wet	  1.50	ppm	wet	377.40	ppm	wet	 30.35	ppm	wet	  8.22	ppm	wet	  0.00	ppm	wet	OK
0	2017-03-02	22:24:04		SN081370_20160606.LIB	  0.06	vol-%	wet	  0.86	ppm	wet	469.74	ppm	wet	 11.23	ppm	wet	  1.69	ppm	wet	363.35	ppm	wet	 31.77	ppm	wet	  6.92	ppm	wet	  0.13	ppm	wet	OK
0	2017-03-02	22:24:25		SN081370_20160606.LIB	  0.07	vol-%	wet	  1.05	ppm	wet	467.94	ppm	wet	 11.70	ppm	wet	  0.77	ppm	wet	349.62	ppm	wet	 31.61	ppm	wet	  5.80	ppm	wet	  0.00	ppm	wet	OK
0	2017-03-02	22:24:47		SN081370_20160606.LIB	  0.06	vol-%	wet	  0.98	ppm	wet	466.41	ppm	wet	 10.25	ppm	wet	  1.39	ppm	wet	337.14	ppm	wet	 32.10	ppm	wet	  4.75	ppm	wet	  0.59	ppm	wet	OK
0	2017-03-02	22:25:08		SN081370_20160606.LIB	  0.06	vol-%	wet	  0.92	ppm	wet	465.53	ppm	wet	 10.69	ppm	wet	  2.22	ppm	wet	325.18	ppm	wet	 32.76	ppm	wet	  3.80	ppm	wet	  0.00	ppm	wet	OK
0	2017-03-02	22:25:29		SN081370_20160606.LIB	  0.06	vol-%	wet	  1.13	ppm	wet	465.88	ppm	wet	 10.27	ppm	wet	  0.34	ppm	wet	315.37	ppm	wet	 32.67	ppm	wet	  3.09	ppm	wet	  0.00	ppm	wet	OK
0	2017-03-02	22:25:50		SN081370_20160606.LIB	  0.05	vol-%	wet	  1.08	ppm	wet	466.24	ppm	wet	 10.22	ppm	wet	  0.85	ppm	wet	303.63	ppm	wet	 29.84	ppm	wet	  2.38	ppm	wet	  0.00	ppm	wet	Warning
