Temperature(C)  NO(ppm)  StandardError(ppm)  NH3(ppm)  StandardError(ppm)  N2O(ppm)  StandardError(ppm)  NO2(ppm)  StandardError(ppm)  SO2(ppm)  StandardError(ppm)  H2O(ppm)  StandardError(ppm)  ConvertionRatio(%)  StandardError(%)  ReactionRate(s-1)  StandardError(s-1)  lnk  StandardError  1/T
100    475.5712      0.6444    446.6308      0.6577     12.6368      0.6719     13.7052      0.6870     11.9464      0.7032      0.2220      0.7205   4.8858   0.1289   0.8349   0.0226   -0.1805   1.0006   0.0026799
130    429.8228      0.4677    440.8796      0.4773     16.0880      0.4876     10.0076      0.4985     21.7688      0.5103      0.1084      0.5229   14.0354   0.0935   2.5206   0.0181   0.9245   1.0005   0.0024805
170    241.4388      1.2059    338.0488      1.2307     12.0484      1.2572      2.8732      1.2854     16.0292      1.3157      0.0948      1.3482   51.7122   0.2412   12.1332   0.0832   2.4959   1.0012   0.0022566
200     46.0244      0.7684    220.3436      0.7843      8.6480      0.8011      0.5580      0.8191     10.0592      0.8384      0.0928      0.8591   90.7951   0.1537   39.7573   0.2783   3.6828   1.0008   0.0021135
230      0.0000      0.0000    197.8200      0.0000      7.8496      0.0000      0.2368      0.0000      8.4928      0.0000      0.0896      0.0000   100.0000   0.0000   268.6349   0.0000   5.5934      nan   0.0019875
260      0.0000      0.0000    186.9004      0.0000      9.9152      0.0000      0.1616      0.0000      5.8760      0.0000      0.0860      0.0000   100.0000   0.0000   268.6349   0.0000   5.5934      nan   0.0018756
300      0.0000      0.0000    159.2336      0.0000     25.3984      0.0000      0.0848      0.0000      4.6004      0.0000      0.0876      0.0000   100.0000   0.0000   268.6349   0.0000   5.5934      nan   0.0017447
350      0.0000      0.0000     85.5416      0.0000     98.6472      0.0000      0.1024      0.0000      4.3940      0.0000      0.0976      0.0000   100.0000   0.0000   268.6349   0.0000   5.5934      nan   0.0016048
400      0.0000      0.0000     49.7776      0.0000    232.4548      0.0000      0.0760      0.0000      4.4624      0.0000      0.1052      0.0000   100.0000   0.0000   268.6349   0.0000   5.5934      nan   0.0014856
450     54.4824      0.3524     27.6564      0.3596    329.1156      0.3674      4.1176      0.3756      3.1428      0.3845      0.0964      0.3939   89.1035   0.0705   36.9455   0.1078   3.6094   1.0004   0.0013828
500    192.2404      0.6006     21.3296      0.6130    344.3932      0.6262     21.1732      0.6402      3.0544      0.6553      0.0952      0.6715   61.5519   0.1201   15.9310   0.0521   2.7683   1.0006   0.0012934
