Spectrum	Date	Time	H2O% 191C	CO ppm 191C (1of2)	CO% 191C (2of2)	CO2% 191C	Temp (C)	Pressure (Atm)	H2O% 191C resid	CO ppm 191C (1of2) resid	CO% 191C (2of2) resid	CO2% 191C resid	Igram DC	Igram PP	phase Angle	laser PP	laser DC	Bad Scan counter	Centerburst Location	Linearizer Check	SNR 2500	sBeam @ 2500	
N/A	12/19/2016	16:26:17.414	-0.007869	5.431335	0.000251	0.002137	190.098114	1.009373	0.073111	0.241500	0.000166	0.008551	2.287176	7.329329	86.823532	4.784314	-5.058824	1.000000	1126.461060	0.003925	1845.127563	0.735520
N/A	12/19/2016	16:26:37.038	-0.016513	5.267934	0.000146	-0.005052	190.104797	1.009431	0.075367	0.295538	0.000142	0.008064	2.290978	7.330248	86.117645	4.901961	-5.058824	1.000000	1126.423950	0.004009	1571.427002	0.736397
N/A	12/19/2016	16:26:56.663	-0.026747	5.361301	0.000172	0.005253	190.146301	1.009220	0.079272	0.246137	0.000154	0.008037	2.288076	7.327896	86.117645	4.901961	-5.058824	1.000000	1126.497070	0.003894	1799.459229	0.736402
N/A	12/19/2016	16:27:16.333	-0.020301	5.220341	0.000147	0.001204	190.189148	1.009204	0.080672	0.257541	0.000143	0.008941	2.279858	7.323351	87.529411	4.862745	-5.019608	1.000000	1126.422119	0.003825	2009.212402	0.735582
N/A	12/19/2016	16:27:35.912	-0.015039	5.375399	0.000370	-0.016130	190.135590	1.009220	0.081241	0.266998	0.000144	0.008687	2.278777	7.322027	86.117645	4.941176	-5.019608	1.000000	1126.493896	0.003944	1601.669800	0.735538
N/A	12/19/2016	16:27:55.536	-0.013253	5.557893	0.000296	-0.012837	190.183792	1.009170	0.082806	0.255285	0.000148	0.008037	2.277966	7.320337	87.529411	4.784314	-5.019608	1.000000	1126.437134	0.003847	1412.245117	0.735901
N/A	12/19/2016	16:28:15.513	-0.026082	5.460630	0.000194	0.006042	190.173080	1.009204	0.083751	0.286567	0.000140	0.008640	2.280007	7.320135	86.823532	4.862745	-5.019608	1.000000	1126.526978	0.003936	1513.585083	0.736120
N/A	12/19/2016	16:28:34.784	-0.032708	5.261732	0.000300	0.000499	190.140945	1.009237	0.083623	0.242713	0.000114	0.008392	2.278009	7.317886	86.823532	4.862745	-5.019608	1.000000	1126.512451	0.003965	1542.010132	0.735442
N/A	12/19/2016	16:28:54.408	-0.016077	5.780268	0.000148	0.002766	190.146301	1.009204	0.086236	0.269320	0.000153	0.009650	2.272364	7.314178	86.117645	4.941176	-5.019608	1.000000	1126.452393	0.003862	1827.428589	0.735630
N/A	12/19/2016	16:29:14.032	-0.022328	5.357509	0.000183	0.001379	190.162369	1.009254	0.088273	0.325507	0.000201	0.007832	2.265424	7.309530	86.823532	4.823529	-5.019608	1.000000	1126.443726	0.003762	2285.251465	0.734835
N/A	12/19/2016	16:29:33.656	-0.025108	5.484618	0.000241	-0.010754	190.183792	1.009204	0.093469	0.299214	0.000130	0.008080	2.265445	7.306131	86.823532	4.823529	-5.019608	1.000000	1126.396240	0.003734	1921.384155	0.735264
N/A	12/19/2016	16:29:53.635	-0.042592	5.562285	0.000228	-0.010856	190.189148	1.009204	0.100211	0.271576	0.000154	0.007231	2.256229	7.299351	86.823532	4.862745	-5.019608	1.000000	1126.492920	0.003687	1937.333252	0.735374
N/A	12/19/2016	16:30:12.905	-0.048195	5.487004	0.000242	-0.010505	190.203720	1.009183	0.105044	0.251754	0.000172	0.008473	2.250353	7.292414	87.529411	4.823529	-5.019608	1.000000	1126.530762	0.003678	1874.072021	0.735269
N/A	12/19/2016	16:30:32.508	-0.050164	5.476792	0.000258	-0.002561	190.290894	1.009271	0.112275	0.274161	0.000153	0.008337	2.244417	7.286388	86.823532	4.980392	-5.019608	1.000000	1126.441284	0.003619	1284.877930	0.735077
N/A	12/19/2016	16:30:52.129	-0.062384	5.646443	0.000163	-0.006334	190.257431	1.009190	0.118690	0.236613	0.000151	0.007931	2.235422	7.279455	86.117645	4.980392	-4.980392	1.000000	1126.387939	0.003689	1716.078003	0.734583
N/A	12/19/2016	16:31:11.746	-0.055262	7.453659	0.000450	-0.001736	190.199860	1.009170	0.123067	0.212370	0.000138	0.008691	2.230917	7.274801	86.823532	4.901961	-5.019608	1.000000	1126.595337	0.003666	1489.089600	0.734964
N/A	12/19/2016	16:31:31.369	-0.061802	19.126480	0.001406	-0.005628	190.231995	1.009254	0.128875	0.271621	0.000157	0.008774	2.224717	7.268621	86.823532	4.901961	-5.019608	1.000000	1126.461914	0.003586	1971.815674	0.734405
N/A	12/19/2016	16:31:50.997	-0.065457	60.250798	0.004880	-0.015677	190.221283	1.009220	0.130645	0.543964	0.000185	0.012626	2.214183	7.259319	86.117645	4.941176	-4.980392	1.000000	1126.489990	0.003715	1646.849487	0.734276
N/A	12/19/2016	16:32:10.617	-0.076308	160.157195	0.014391	-0.041317	190.237350	1.009254	0.134954	1.179877	0.000293	0.017824	2.204007	7.248409	86.823532	4.980392	-4.980392	1.000000	1126.435425	0.003593	1785.079590	0.734408
N/A	12/19/2016	16:32:30.280	-0.078624	335.793676	0.031498	-0.039662	190.290894	1.009204	0.134340	2.404528	0.000519	0.025369	2.190071	7.235600	86.117645	4.980392	-4.980392	1.000000	1126.498901	0.003624	1463.202515	0.734002
N/A	12/19/2016	16:32:49.899	-0.079591	593.051707	0.058673	-0.028451	190.274826	1.009254	0.135453	4.934838	0.000829	0.038123	2.174871	7.222332	86.823532	4.901961	-4.980392	1.000000	1126.449585	0.003591	1571.413940	0.734428
N/A	12/19/2016	16:33:09.512	-0.079674	920.164141	0.093980	0.002737	190.215927	1.009204	0.137635	8.012614	0.001315	0.064149	2.160512	7.209341	86.823532	4.980392	-4.980392	1.000000	1126.576172	0.003561	1712.917114	0.734019
N/A	12/19/2016	16:33:29.117	-0.075062	1312.341596	0.134986	0.023430	190.231995	1.009187	0.136142	13.681205	0.002006	0.092476	2.146754	7.197283	87.529411	4.823529	-5.019608	1.000000	1126.496338	0.003577	1478.723511	0.734455
N/A	12/19/2016	16:33:48.807	-0.064800	1740.992554	0.179192	-0.004344	190.248947	1.009254	0.133801	15.335569	0.002636	0.123659	2.143787	7.189653	87.529411	4.862745	-4.980392	1.000000	1126.535400	0.003573	2135.690674	0.734852
N/A	12/19/2016	16:34:08.386	-0.063609	2214.859807	0.224838	-0.010828	190.267609	1.009174	0.132804	20.460944	0.003490	0.157206	2.131740	7.179344	86.823532	4.823529	-5.019608	1.000000	1126.521484	0.003574	1557.419922	0.734827
N/A	12/19/2016	16:34:28.011	-0.067115	2651.263802	0.268473	-0.020198	190.242706	1.009220	0.130135	23.326000	0.004288	0.192750	2.117461	7.169071	87.529411	4.784314	-5.019608	1.000000	1126.554565	0.003251	1695.607910	0.734485
N/A	12/19/2016	16:34:47.635	-0.066924	3110.144891	0.312404	-0.015764	190.242706	1.009204	0.126908	27.914786	0.005061	0.225590	2.111578	7.163017	86.823532	4.823529	-5.019608	1.000000	1126.561890	0.003384	1746.243896	0.734651
N/A	12/19/2016	16:35:07.620	-0.057174	3561.709631	0.355913	-0.008125	190.221283	1.009288	0.125199	33.419098	0.005954	0.261881	2.109289	7.158390	86.823532	4.862745	-5.019608	1.000000	1126.639893	0.003315	1697.892456	0.734882
N/A	12/19/2016	16:35:26.859	-0.050752	3930.296500	0.392426	-0.037295	190.178436	1.009305	0.122603	36.094838	0.006784	0.294024	2.099019	7.151691	86.823532	4.901961	-5.019608	1.000000	1126.600952	0.003166	1342.095215	0.735085
N/A	12/19/2016	16:35:46.487	-0.055116	4311.732551	0.429191	-0.011366	190.226639	1.009204	0.120283	40.583715	0.007551	0.325226	2.095202	7.146971	87.529411	4.823529	-5.019608	1.000000	1126.485107	0.003260	2101.773193	0.734619
N/A	12/19/2016	16:36:06.110	-0.054862	4676.302779	0.465731	-0.052849	190.173080	1.009170	0.116918	43.714770	0.008296	0.358068	2.090258	7.142952	86.823532	4.823529	-5.019608	1.000000	1126.586792	0.003242	1367.842041	0.734518
N/A	12/19/2016	16:36:25.731	-0.040824	5017.971034	0.501416	-0.052988	190.194504	1.009254	0.113383	46.933136	0.009158	0.388167	2.087296	7.140270	87.529411	4.823529	-5.019608	1.000000	1126.598633	0.003313	1370.800415	0.734998
