Temperature(C)  CO(%)  StandardError(%)  CO2(%)  StandardError(%)  H2O(%)  StandardError(%)  ConvertionRatio(%)  StandardError(%)  ReactionRate(s-1)  StandardError(s-1)  lnk  StandardError  1/T
 70   1.0389   0.0040   0.4441   0.0074   0.0507   0.0036   0.5793   0.3819   0.0242   0.0160   -3.7211   1.0019   0.0029142
 80   1.0379   0.0026   0.4389   0.0061   0.0383   0.0050   0.6790   0.2488   0.0284   0.0104   -3.5618   1.0012   0.0028317
 90   1.0395   0.0022   0.4326   0.0095   0.0355   0.0043   0.5260   0.2104   0.0220   0.0088   -3.8179   1.0011   0.0027537
100   1.0408   0.0021   0.4272   0.0083   0.0359   0.0045   0.4005   0.1973   0.0167   0.0083   -4.0911   1.0010   0.0026799
110   1.0409   0.0021   0.4289   0.0088   0.0410   0.0043   0.3966   0.2023   0.0166   0.0085   -4.1009   1.0010   0.0026099
120   1.0431   0.0030   0.4321   0.0083   0.0450   0.0051   0.1856   0.2872   0.0077   0.0120   -4.8610   1.0014   0.0025436
130   1.0423   0.0027   0.4373   0.0081   0.0496   0.0049   0.2625   0.2584   0.0110   0.0108   -4.5143   1.0013   0.0024805
140   1.0424   0.0013   0.4430   0.0091   0.0574   0.0044   0.2493   0.1208   0.0104   0.0050   -4.5660   1.0006   0.0024204
150   1.0441   0.0024   0.4465   0.0084   0.0666   0.0050   0.0900   0.2340   0.0038   0.0098   -5.5851   1.0012   0.0023632
160   1.0455   0.0022   0.4496   0.0095   0.0749   0.0037   -0.0478   0.2149   -0.0020   0.0089      nan      nan   0.0023087
170   1.0450   0.0017   0.4549   0.0096   0.0749   0.0038   -0.0024   0.1611   -0.0001   0.0067      nan      nan   0.0022566
180   1.0397   0.0379   0.4834   0.1216   0.1369   0.3135   0.5032   3.6308   0.0210   0.1520   -3.8622   1.0187   0.0022068
190   1.0476   0.0016   0.4559   0.0066   0.0742   0.0044   -0.2480   0.1551   -0.0103   0.0064      nan      nan   0.0021591
200   1.0470   0.0014   0.4626   0.0081   0.0761   0.0036   -0.1924   0.1330   -0.0080   0.0055      nan      nan   0.0021135
210   1.0538   0.0344   0.4988   0.1730   0.0802   0.0341   -0.8469   3.2909   -0.0351   0.1360      nan      nan   0.0020698
220   1.0488   0.0021   0.4662   0.0086   0.0735   0.0037   -0.3664   0.2044   -0.0152   0.0085      nan      nan   0.0020278
240   1.0518   0.0043   0.4654   0.0111   0.0733   0.0052   -0.6544   0.4110   -0.0272   0.0170      nan      nan   0.0019487
260   1.0447   0.0045   0.4327   0.0104   0.0796   0.0051   0.0275   0.4291   0.0011   0.0179   -6.7722   1.0022   0.0018756
280   1.0311   0.0053   0.4305   0.0104   0.0765   0.0056   1.3254   0.5025   0.0556   0.0212   -2.8897   1.0025   0.0018078
300   1.0259   0.0037   0.4270   0.0078   0.0787   0.0042   1.8325   0.3553   0.0771   0.0151   -2.5631   1.0018   0.0017447
